0X06FF00 0XFD
0X06FF56 0X83
0X06FF57 0X1B
0X06FF58 0X00
0X06FF59 0X78
0X06FF5A 0X9A
0X06FF5B 0X4C
0X06FF5C 0XA0
0X06FF5D 0X07
0X06FF5E 0XF9
0X06FF5F 0X6D
0X06FF60 0X0B
0X06FF61 0XCD
0X06FF62 0X2C
0X06FF63 0XCB
0X06FF64 0X00
0X06FF65 0X93
0X06FF66 0X83
0X06FF67 0X40
0X06FF68 0X0A
0X06FF69 0X16
0X06FF6A 0X63
0X06FF6B 0XE7
0X06FF6C 0X13
0X06FF6D 0XA7
0X06FF6E 0XD2
0X06FF6F 0X45
0X06FF70 0XC2
0X06FF71 0XB0
0X06FF72 0XCB
0X06FF73 0X90
0X06FF74 0XF7
0X06FF75 0X37
0X06FF76 0XDF
0X06FF77 0XF1
0X06FF78 0X4F
0X06FF79 0XCE
0X06FF7A 0X66
0X06FF7B 0X5D
0X06FF7C 0XFC
0X06FF7D 0X43
0X06FF7E 0X4B
0X06FF7F 0XB8
0X06FF80 0XE1
0X06FF81 0XB8
0X06FF82 0X14
0X06FF83 0X34
0X06FF84 0XC2
0X06FF85 0X37
0X06FF86 0X74
0X06FF87 0X39
0X06FF88 0X74
0X06FF89 0X77
0X06FF8A 0X13
0X06FF8B 0X43
0X06FF8C 0XC6
0X06FF8D 0X78
0X06FF8E 0XC2
0X06FF8F 0X49
0X06FF90 0X57
0X06FF91 0X88
0X06FF92 0X5A
0X06FF93 0X05
0X06FF94 0X22
0X06FF95 0XD4
0X06FF96 0X97
0X06FF97 0XFB
0X06FF98 0X78
0X06FF99 0X99
0X06FF9A 0X15
0X06FF9B 0X71
0X06FF9C 0X29
0X06FF9D 0XAB
0X06FF9E 0XFF
0X06FF9F 0XBE
0X06FFA0 0X62
0X06FFA1 0X72
0X06FFA2 0X00
0X06FFA3 0XB8
0X06FFA4 0XF6
0X06FFA5 0XF6
0X06FFA6 0X3B
0X06FFA7 0X98
0X06FFA8 0XAF
0X06FFA9 0X32
0X06FFAA 0X21
0X06FFAB 0X83
0X06FFAC 0XBB
0X06FFAD 0X7C
0X06FFAE 0XA1
0X06FFAF 0XC3
0X06FFB0 0XA2
0X06FFB1 0X5D
0X06FFB2 0XFE
0X06FFB3 0X01
0X06FFB4 0X00
0X06FFB5 0X22
0X06FFB6 0X7F
0X06FFB7 0X92
0X06FFB8 0X00
0X06FFB9 0X69
0X06FFBA 0X95
0X06FFBB 0X4E
0X06FFBC 0XCB
0X06FFBD 0X97
0X06FFBE 0XC3
0X06FFBF 0X95
0X06FFC0 0XD1
0X06FFC1 0XBB
0X06FFC2 0XFB
0X06FFC3 0X5B
0X06FFC4 0XED
0X06FFC5 0X9E
0X06FFC6 0XD7
0X06FFC7 0XD0
0X06FFC8 0X9D
0X06FFC9 0X61
0X06FFCA 0XD3
0X06FFCB 0XB9
0X06FFCC 0X75
0X06FFCD 0X9D
0X06FFCE 0XA7
0X06FFCF 0XA8
0X06FFD0 0X6E
0X06FFD1 0X3A
0X06FFD2 0XB5
0X06FFD3 0X00
0X06FFD4 0X5D
0X06FFD5 0X14
0X06FFD6 0X4D
0X06FFD7 0X8E
0X06FFD8 0X9E
0X06FFD9 0XAF
0X06FFDA 0X91
0X06FFDB 0X3F
0X06FFDC 0X54
0X06FFDD 0X11
0X06FFDE 0X50
0X06FFDF 0X90
0X06FFE0 0X2A
0X06FFE1 0X5B
0X06FFE2 0X10
0X06FFE3 0XC3
0X06FFE4 0X0D
0X06FFE5 0X0D
0X06FFE6 0X64
0X06FFE7 0X07
0X06FFE8 0X6D
0X06FFE9 0XF3
0X06FFEA 0XC2
0X06FFEB 0X7E
0X06FFEC 0XD5
0X06FFED 0XC4
0X06FFEE 0X16
0X06FFEF 0XC7
0X06FFF0 0X04
0X06FFF1 0XC9
0X06FFF2 0X71
0X06FFF3 0X96
0X06FFF4 0XC4
0X06FFF5 0X03
0X06FFF6 0XAB
0X06FFF7 0XCC
0X06FFF8 0X8F
0X06FFF9 0X80
0X06FFFA 0X4C
0X06FFFB 0X3A
0X06FFFC 0X18
0X06FFFD 0X3A
0X06FFFE 0X97
0X06FFFF 0XFB
