0X08FF00 0X8C
0X08FF9D 0X03
0X08FF9E 0X9D
0X08FF9F 0X0E
0X08FFA0 0XD7
0X08FFA1 0X5A
0X08FFA2 0XF9
0X08FFA3 0X1E
0X08FFA4 0X0E
0X08FFA5 0XEA
0X08FFA6 0XE6
0X08FFA7 0XE9
0X08FFA8 0XD4
0X08FFA9 0XB8
0X08FFAA 0X69
0X08FFAB 0X40
0X08FFAC 0X01
0X08FFAD 0X59
0X08FFAE 0X98
0X08FFAF 0XD1
0X08FFB0 0X3B
0X08FFB1 0XA0
0X08FFB2 0XA9
0X08FFB3 0X24
0X08FFB4 0XFE
0X08FFB5 0XA1
0X08FFB6 0X7D
0X08FFB7 0X77
0X08FFB8 0X5E
0X08FFB9 0X7D
0X08FFBA 0XF0
0X08FFBB 0X41
0X08FFBC 0XE5
0X08FFBD 0XAE
0X08FFBE 0X8E
0X08FFBF 0X57
0X08FFC0 0X6A
0X08FFC1 0XA7
0X08FFC2 0X94
0X08FFC3 0X41
0X08FFC4 0XD0
0X08FFC5 0XB7
0X08FFC6 0XB2
0X08FFC7 0XE3
0X08FFC8 0XC2
0X08FFC9 0X01
0X08FFCA 0XF3
0X08FFCB 0X73
0X08FFCC 0X0F
0X08FFCD 0X07
0X08FFCE 0X0C
0X08FFCF 0X80
0X08FFD0 0X88
0X08FFD1 0XD4
0X08FFD2 0XC2
0X08FFD3 0X73
0X08FFD4 0X2F
0X08FFD5 0X43
0X08FFD6 0X80
0X08FFD7 0X0F
0X08FFD8 0X99
0X08FFD9 0X13
0X08FFDA 0X97
0X08FFDB 0X91
0X08FFDC 0XA3
0X08FFDD 0XD2
0X08FFDE 0X9C
0X08FFDF 0X59
0X08FFE0 0X78
0X08FFE1 0X37
0X08FFE2 0X87
0X08FFE3 0XD3
0X08FFE4 0XA8
0X08FFE5 0X0E
0X08FFE6 0X15
0X08FFE7 0X0E
0X08FFE8 0XD3
0X08FFE9 0X69
0X08FFEA 0X4E
0X08FFEB 0X0D
0X08FFEC 0XA2
0X08FFED 0XB9
0X08FFEE 0X11
0X08FFEF 0X5E
0X08FFF0 0XF3
0X08FFF1 0X0D
0X08FFF2 0X68
0X08FFF3 0X91
0X08FFF4 0X2E
0X08FFF5 0X8D
0X08FFF6 0X29
0X08FFF7 0XF3
0X08FFF8 0XFB
0X08FFF9 0X6A
0X08FFFA 0XD9
0X08FFFB 0XEC
0X08FFFC 0X64
0X08FFFD 0XF1
0X08FFFE 0XA8
0X08FFFF 0XCD
